Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-29-7,LEF-2-3,-226.49999999999994,400.70000000000005,-339.49999999999994,400.7000000000001,-339.49999999999994,320.7000000000001,-226.49999999999997,320.70000000000005,-227.20562499999994,400.12000000000006,-338.79437499999995,400.1200000000001,-338.79437499999995,321.28000000000014,-227.20562499999997,321.2800000000001
Y,QL-R3,L12-29-6,LEF-2-3,-226.49999999999994,480.85,-339.49999999999994,480.8500000000001,-339.49999999999994,400.8500000000001,-226.49999999999994,400.85,-227.20562499999994,480.27000000000004,-338.79437499999995,480.2700000000001,-338.79437499999995,401.4300000000001,-227.20562499999994,401.43000000000006
Y,QL-R3,L12-29-5,LEF-2-3,-226.49999999999994,561.0,-339.49999999999994,561.0,-339.49999999999994,481.00000000000006,-226.49999999999994,481.0,-227.20562499999994,560.42,-338.79437499999995,560.42,-338.79437499999995,481.58,-227.20562499999994,481.5799999999999
Y,QL-R3,L12-29-4,LEF-2-3,-226.49999999999991,641.1500000000001,-339.49999999999994,641.1500000000001,-339.49999999999994,561.1500000000001,-226.49999999999994,561.1500000000001,-227.2056249999999,640.57,-338.79437499999995,640.57,-338.79437499999995,561.73,-227.20562499999994,561.73
Y,QL-R3,L12-29-3,LEF-2-3,-226.49999999999991,721.3000000000001,-339.4999999999999,721.3000000000001,-339.49999999999994,641.3000000000001,-226.49999999999991,641.3000000000001,-227.2056249999999,720.72,-338.7943749999999,720.72,-338.79437499999995,641.88,-227.2056249999999,641.88
Y,QL-R3,L12-29-2,LEF-2-3,-226.49999999999991,801.45,-339.4999999999999,801.45,-339.4999999999999,721.45,-226.49999999999991,721.45,-227.2056249999999,800.87,-338.7943749999999,800.87,-338.7943749999999,722.03,-227.2056249999999,722.03
Y,QL-R3,L12-29-1,LEF-2-3,-226.4999999999999,881.6,-339.4999999999999,881.6,-339.4999999999999,801.6,-226.49999999999991,801.6,-227.20562499999988,881.02,-338.7943749999999,881.02,-338.7943749999999,802.18,-227.2056249999999,802.18
Y,QL-R3,L12-29-0,LEF-2-3,-226.4999999999999,961.7500000000001,-339.4999999999999,961.7500000000001,-339.4999999999999,881.7500000000001,-226.4999999999999,881.7500000000001,-227.20562499999988,961.1700000000001,-338.7943749999999,961.1700000000001,-338.7943749999999,882.33,-227.20562499999988,882.33
Y,QL-R3,L12-46-11,LEF-2-4,-339.70000000000005,80.10000000000004,-452.70000000000005,80.10000000000005,-452.70000000000005,0.10000000000004976,-339.70000000000005,0.10000000000003592,-340.40562500000004,79.52000000000004,-451.99437500000005,79.52000000000005,-451.99437500000005,0.680000000000048,-340.40562500000004,0.6800000000000342
Y,QL-R3,L12-46-10,LEF-2-4,-339.70000000000005,160.25000000000003,-452.70000000000005,160.25000000000006,-452.70000000000005,80.25000000000006,-339.70000000000005,80.25000000000004,-340.40562500000004,159.67000000000002,-451.99437500000005,159.67000000000004,-451.99437500000005,80.83000000000004,-340.40562500000004,80.83000000000003
