Layer,Step 1 point,NEVTs,Hits
Y,96,20000,LEF-4-8,LEF-4-9
Y,97,20000,LEF-4-7,LEF-4-8
Y,98,20000,LEF-4-6,LEF-4-7
Y,99,20000,LEF-4-5,LEF-4-6
Y,100,20000,LEF-4-4,LEF-4-5
Y,101,20000,LEF-4-3,LEF-4-4
Y,102,20000,LEF-4-2,LEF-4-3
Y,103,20000,LEF-4-1,LEF-4-2
Y,104,20000,LEF-2-1,LEF-4-1
Y,105,20000,LEF-2-1,LEF-2-2
Y,106,20000,LEF-2-2,LEF-2-3
Y,107,20000,LEF-2-3,LEF-2-4
Y,108,20000,LEF-2-4,LEF-2-5
Y,109,20000,LEF-2-5,LEF-2-6
Y,110,20000,LEF-2-6,LEF-2-7
Y,111,20000,LEF-2-7,LEF-2-8
Y,112,20000,LEF-2-8,LEF-2-9
Y,113,20000,LEF-2-8,LEF-2-9
Y,114,20000,LEF-2-7,LEF-2-8
Y,115,20000,LEF-2-6,LEF-2-7
Y,116,20000,LEF-2-5,LEF-2-6
Y,117,20000,LEF-2-4,LEF-2-5
Y,118,20000,LEF-2-3,LEF-2-4
Y,119,20000,LEF-2-2,LEF-2-3
Y,120,20000,LEF-2-1,LEF-2-2
Y,121,20000,LEF-2-1,LEF-4-1
Y,122,20000,LEF-4-1,LEF-4-2
Y,123,20000,LEF-4-2,LEF-4-3
Y,124,20000,LEF-4-3,LEF-4-4
Y,125,20000,LEF-4-4,LEF-4-5
Y,126,20000,LEF-4-5,LEF-4-6
Y,127,20000,LEF-4-6,LEF-4-7
Y,128,20000,LEF-4-7,LEF-4-8
Y,129,20000,LEF-4-8,LEF-4-9
Y,130,20000,LEF-4-8,LEF-4-9
Y,131,20000,LEF-4-7,LEF-4-8
Y,132,20000,LEF-4-6,LEF-4-7
Y,133,20000,LEF-4-5,LEF-4-6
Y,134,20000,LEF-4-4,LEF-4-5
Y,135,20000,LEF-4-3,LEF-4-4
Y,136,20000,LEF-4-2,LEF-4-3
Y,137,20000,LEF-4-1,LEF-4-2
Y,138,20000,LEF-2-1,LEF-4-1
Y,139,20000,LEF-2-1,LEF-2-2
Y,140,20000,LEF-2-2,LEF-2-3
Y,141,20000,LEF-2-3,LEF-2-4
Y,142,20000,LEF-2-4,LEF-2-5
Y,143,20000,LEF-2-5,LEF-2-6
Y,144,20000,LEF-2-6,LEF-2-7
Y,145,20000,LEF-2-7,LEF-2-8
Y,146,20000,LEF-2-8,LEF-2-9
Y,147,20000,LEF-2-8,LEF-2-9
Y,148,20000,LEF-2-7,LEF-2-8
Y,149,20000,LEF-2-6,LEF-2-7
Y,150,20000,LEF-2-5,LEF-2-6
Y,151,20000,LEF-2-4,LEF-2-5
Y,152,20000,LEF-2-3,LEF-2-4
Y,153,20000,LEF-2-2,LEF-2-3
Y,154,20000,LEF-2-1,LEF-2-2
Y,155,20000,LEF-2-1,LEF-4-1
Y,156,20000,LEF-4-1,LEF-4-2
Y,157,20000,LEF-4-2,LEF-4-3
Y,158,20000,LEF-4-3,LEF-4-4
Y,159,20000,LEF-4-4,LEF-4-5
Y,160,20000,LEF-4-5,LEF-4-6
Y,161,20000,LEF-4-6,LEF-4-7
Y,162,20000,LEF-4-7,LEF-4-8
Y,163,20000,LEF-4-8,LEF-4-9
Y,164,20000,LEF-4-8,LEF-4-9
Y,165,20000,LEF-4-7,LEF-4-8
Y,166,20000,LEF-4-6,LEF-4-7
Y,167,20000,LEF-4-5,LEF-4-6
Y,168,20000,LEF-4-4,LEF-4-5
Y,169,20000,LEF-4-3,LEF-4-4
Y,170,20000,LEF-4-2,LEF-4-3
Y,171,20000,LEF-4-1,LEF-4-2
Y,172,20000,LEF-2-1,LEF-4-1
Y,173,20000,LEF-2-1,LEF-2-2
Y,174,20000,LEF-2-2,LEF-2-3
Y,175,20000,LEF-2-3,LEF-2-4
Y,176,20000,LEF-2-4,LEF-2-5
Y,177,20000,LEF-2-5,LEF-2-6
Y,178,20000,LEF-2-6,LEF-2-7
Y,179,20000,LEF-2-7,LEF-2-8
Y,180,20000,LEF-2-8,LEF-2-9
Y,181,20000,LEF-8-8,LEF-8-9
Y,182,20000,LEF-8-7,LEF-8-8
Y,183,20000,LEF-8-6,LEF-8-7
Y,184,20000,LEF-8-5,LEF-8-6
Y,185,20000,LEF-8-4,LEF-8-5
Y,186,20000,LEF-8-3,LEF-8-4
Y,187,20000,LEF-8-2,LEF-8-3
Y,188,20000,LEF-8-1,LEF-8-2
Y,189,20000,LEF-6-1,LEF-8-1
Y,190,20000,LEF-6-1,LEF-6-2
Y,191,20000,LEF-6-2,LEF-6-3
Y,192,20000,LEF-6-3,LEF-6-4
Y,193,20000,LEF-6-4,LEF-6-5
Y,194,20000,LEF-6-5,LEF-6-6
Y,195,20000,LEF-6-6,LEF-6-7
Y,196,20000,LEF-6-7,LEF-6-8
Y,197,20000,LEF-6-8,LEF-6-9
Y,198,20000,LEF-6-8,LEF-6-9
Y,199,20000,LEF-6-7,LEF-6-8
Y,200,20000,LEF-6-6,LEF-6-7
Y,201,20000,LEF-6-5,LEF-6-6
Y,202,20000,LEF-6-4,LEF-6-5
Y,203,20000,LEF-6-3,LEF-6-4
Y,204,20000,LEF-6-2,LEF-6-3
Y,205,20000,LEF-6-1,LEF-6-2
Y,206,20000,LEF-6-1,LEF-8-1
Y,207,20000,LEF-8-1,LEF-8-2
Y,208,20000,LEF-8-2,LEF-8-3
Y,209,20000,LEF-8-3,LEF-8-4
Y,210,20000,LEF-8-4,LEF-8-5
Y,211,20000,LEF-8-5,LEF-8-6
Y,212,20000,LEF-8-6,LEF-8-7
Y,213,20000,LEF-8-7,LEF-8-8
Y,214,20000,LEF-8-8,LEF-8-9
Y,215,20000,LEF-8-8,LEF-8-9
Y,216,20000,LEF-8-7,LEF-8-8
Y,217,20000,LEF-8-6,LEF-8-7
Y,218,20000,LEF-8-5,LEF-8-6
Y,219,20000,LEF-8-4,LEF-8-5
Y,220,20000,LEF-8-3,LEF-8-4
Y,221,20000,LEF-8-2,LEF-8-3
Y,222,20000,LEF-8-1,LEF-8-2
Y,223,20000,LEF-6-1,LEF-8-1
Y,224,20000,LEF-6-1,LEF-6-2
Y,225,20000,LEF-6-2,LEF-6-3
Y,226,20000,LEF-6-3,LEF-6-4
Y,227,20000,LEF-6-4,LEF-6-5
Y,228,20000,LEF-6-5,LEF-6-6
Y,229,20000,LEF-6-6,LEF-6-7
Y,230,20000,LEF-6-7,LEF-6-8
Y,231,20000,LEF-6-8,LEF-6-9
Y,232,20000,LEF-6-8,LEF-6-9
Y,233,20000,LEF-6-7,LEF-6-8
Y,234,20000,LEF-6-6,LEF-6-7
Y,235,20000,LEF-6-5,LEF-6-6
Y,236,20000,LEF-6-4,LEF-6-5
Y,237,20000,LEF-6-3,LEF-6-4
Y,238,20000,LEF-6-2,LEF-6-3
Y,239,20000,LEF-6-1,LEF-6-2
Y,240,20000,LEF-6-1,LEF-8-1
Y,241,20000,LEF-8-1,LEF-8-2
Y,242,20000,LEF-8-2,LEF-8-3
Y,243,20000,LEF-8-3,LEF-8-4
Y,244,20000,LEF-8-4,LEF-8-5
Y,245,20000,LEF-8-5,LEF-8-6
Y,246,20000,LEF-8-6,LEF-8-7
Y,247,20000,LEF-8-7,LEF-8-8
Y,248,20000,LEF-8-8,LEF-8-9
Y,249,20000,LEF-8-8,LEF-8-9
Y,250,20000,LEF-8-7,LEF-8-8
Y,251,20000,LEF-8-6,LEF-8-7
Y,252,20000,LEF-8-5,LEF-8-6
Y,253,20000,LEF-8-4,LEF-8-5
Y,254,20000,LEF-8-3,LEF-8-4
Y,255,20000,LEF-8-2,LEF-8-3
Y,256,20000,LEF-8-1,LEF-8-2
Y,257,20000,LEF-6-1,LEF-8-1
Y,258,20000,LEF-6-1,LEF-6-2
Y,259,20000,LEF-6-2,LEF-6-3
Y,260,20000,LEF-6-3,LEF-6-4
Y,261,20000,LEF-6-4,LEF-6-5
Y,262,20000,LEF-6-5,LEF-6-6
Y,263,20000,LEF-6-6,LEF-6-7
Y,264,20000,LEF-6-7,LEF-6-8
Y,265,20000,LEF-6-8,LEF-6-9
Y,266,20000,LEF-6-8,LEF-6-9
Y,267,20000,LEF-6-7,LEF-6-8
Y,268,20000,LEF-6-6,LEF-6-7
Y,269,20000,LEF-6-5,LEF-6-6
Y,270,20000,LEF-6-4,LEF-6-5
Y,271,20000,LEF-6-3,LEF-6-4
Y,272,20000,LEF-6-2,LEF-6-3
Y,273,20000,LEF-6-1,LEF-6-2
Y,274,20000,LEF-6-1,LEF-8-1
Y,275,20000,LEF-8-1,LEF-8-2
Y,276,20000,LEF-8-2,LEF-8-3
Y,277,20000,LEF-8-3,LEF-8-4
Y,278,20000,LEF-8-4,LEF-8-5
Y,279,20000,LEF-8-5,LEF-8-6
Y,280,20000,LEF-8-6,LEF-8-7
Y,281,20000,LEF-8-7,LEF-8-8
Y,282,20000,LEF-8-8,LEF-8-9
Y,283,20000,LEF-8-8,LEF-8-9
Y,284,20000,LEF-8-7,LEF-8-8
Y,285,20000,LEF-8-6,LEF-8-7
Y,286,20000,LEF-8-5,LEF-8-6
Y,287,20000,LEF-8-4,LEF-8-5
Y,288,20000,LEF-8-3,LEF-8-4
Y,289,20000,LEF-8-2,LEF-8-3
Y,290,20000,LEF-8-1,LEF-8-2
Y,291,20000,LEF-6-1,LEF-8-1
Y,292,20000,LEF-6-1,LEF-6-2
Y,293,20000,LEF-6-2,LEF-6-3
Y,294,20000,LEF-6-3,LEF-6-4
Y,295,20000,LEF-6-4,LEF-6-5
Y,296,20000,LEF-6-5,LEF-6-6
Y,297,20000,LEF-6-6,LEF-6-7
Y,298,20000,LEF-6-7,LEF-6-8
Y,299,20000,LEF-6-8,LEF-6-9
Y,300,20000,LEF-6-8,LEF-6-9
Y,301,20000,LEF-6-7,LEF-6-8
Y,302,20000,LEF-6-6,LEF-6-7
Y,303,20000,LEF-6-5,LEF-6-6
Y,304,20000,LEF-6-4,LEF-6-5
Y,305,20000,LEF-6-3,LEF-6-4
Y,306,20000,LEF-6-2,LEF-6-3
Y,307,20000,LEF-6-1,LEF-6-2
Y,308,20000,LEF-6-1,LEF-8-1
Y,309,20000,LEF-8-1,LEF-8-2
Y,310,20000,LEF-8-2,LEF-8-3
Y,311,20000,LEF-8-3,LEF-8-4
Y,312,20000,LEF-8-4,LEF-8-5
Y,313,20000,LEF-8-5,LEF-8-6
Y,314,20000,LEF-8-6,LEF-8-7
Y,315,20000,LEF-8-7,LEF-8-8
Y,316,20000,LEF-8-8,LEF-8-9
Y,317,20000,LEF-8-6,LEF-8-7
Y,318,20000,LEF-8-5,LEF-8-6
Y,319,20000,LEF-8-4,LEF-8-5
Y,320,20000,LEF-8-3,LEF-8-4
Y,321,20000,LEF-8-2,LEF-8-3
Y,322,20000,LEF-8-1,LEF-8-2
Y,323,20000,LEF-6-1,LEF-8-1
Y,324,20000,LEF-6-1,LEF-6-2
Y,325,20000,LEF-6-2,LEF-6-3
Y,326,20000,LEF-6-3,LEF-6-4
Y,327,20000,LEF-6-4,LEF-6-5
Y,328,20000,LEF-6-5,LEF-6-6
Y,329,20000,LEF-6-6,LEF-6-7
Y,330,20000,LEF-6-6,LEF-6-7
Y,331,20000,LEF-6-5,LEF-6-6
Y,332,20000,LEF-6-4,LEF-6-5
Y,333,20000,LEF-6-3,LEF-6-4
Y,334,20000,LEF-6-2,LEF-6-3
Y,335,20000,LEF-6-1,LEF-6-2
Y,336,20000,LEF-6-1,LEF-8-1
Y,337,20000,LEF-8-1,LEF-8-2
Y,338,20000,LEF-8-2,LEF-8-3
Y,339,20000,LEF-8-3,LEF-8-4
Y,340,20000,LEF-8-4,LEF-8-5
Y,341,20000,LEF-8-5,LEF-8-6
Y,342,20000,LEF-8-6,LEF-8-7
Y,343,20000,LEF-8-4,LEF-8-5
Y,344,20000,LEF-8-3,LEF-8-4
Y,345,20000,LEF-8-2,LEF-8-3
Y,346,20000,LEF-8-1,LEF-8-2
Y,347,20000,LEF-6-1,LEF-8-1
Y,348,20000,LEF-6-1,LEF-6-2
Y,349,20000,LEF-6-2,LEF-6-3
Y,350,20000,LEF-6-3,LEF-6-4
Y,351,20000,LEF-6-4,LEF-6-5
Y,352,20000,LEF-6-4,LEF-6-5
Y,353,20000,LEF-6-3,LEF-6-4
Y,354,20000,LEF-6-2,LEF-6-3
Y,355,20000,LEF-6-1,LEF-6-2
Y,356,20000,LEF-6-1,LEF-8-1
Y,357,20000,LEF-8-1,LEF-8-2
Y,358,20000,LEF-8-2,LEF-8-3
Y,359,20000,LEF-8-3,LEF-8-4
Y,360,20000,LEF-8-4,LEF-8-5
