Layer,Step 3 point,NEVTs,Hits
U,232,20000,LEF-7-8,LEF-7-9
U,233,20000,LEF-7-7,LEF-7-8
U,234,20000,LEF-7-6,LEF-7-7
U,235,20000,LEF-7-5,LEF-7-6
U,236,20000,LEF-7-4,LEF-7-5
U,237,20000,LEF-7-3,LEF-7-4
U,238,20000,LEF-7-2,LEF-7-3
U,239,20000,LEF-7-1,LEF-7-2
U,240,20000,LEF-5-1,LEF-7-1
U,241,20000,LEF-5-1,LEF-5-2
U,242,20000,LEF-5-2,LEF-5-3
U,243,20000,LEF-5-3,LEF-5-4
U,244,20000,LEF-5-4,LEF-5-5
U,245,20000,LEF-5-5,LEF-5-6
U,246,20000,LEF-5-6,LEF-5-7
U,247,20000,LEF-5-7,LEF-5-8
U,248,20000,LEF-5-8,LEF-5-9
U,249,20000,LEF-5-8,LEF-5-9
U,250,20000,LEF-5-7,LEF-5-8
U,251,20000,LEF-5-6,LEF-5-7
U,252,20000,LEF-5-5,LEF-5-6
U,253,20000,LEF-5-4,LEF-5-5
U,254,20000,LEF-5-3,LEF-5-4
U,255,20000,LEF-5-2,LEF-5-3
U,256,20000,LEF-5-1,LEF-5-2
U,257,20000,LEF-5-1,LEF-7-1
U,258,20000,LEF-7-1,LEF-7-2
U,259,20000,LEF-7-2,LEF-7-3
U,260,20000,LEF-7-3,LEF-7-4
U,261,20000,LEF-7-4,LEF-7-5
U,262,20000,LEF-7-5,LEF-7-6
U,263,20000,LEF-7-6,LEF-7-7
U,264,20000,LEF-7-7,LEF-7-8
U,265,20000,LEF-7-8,LEF-7-9
U,266,20000,LEF-7-8,LEF-7-9
U,267,20000,LEF-7-7,LEF-7-8
U,268,20000,LEF-7-6,LEF-7-7
U,269,20000,LEF-7-5,LEF-7-6
U,270,20000,LEF-7-4,LEF-7-5
U,271,20000,LEF-7-3,LEF-7-4
U,272,20000,LEF-7-2,LEF-7-3
U,273,20000,LEF-7-1,LEF-7-2
U,274,20000,LEF-5-1,LEF-7-1
U,275,20000,LEF-5-1,LEF-5-2
U,276,20000,LEF-5-2,LEF-5-3
U,277,20000,LEF-5-3,LEF-5-4
U,278,20000,LEF-5-4,LEF-5-5
U,279,20000,LEF-5-5,LEF-5-6
U,280,20000,LEF-5-6,LEF-5-7
U,281,20000,LEF-5-7,LEF-5-8
U,282,20000,LEF-5-8,LEF-5-9
U,283,20000,LEF-5-8,LEF-5-9
U,284,20000,LEF-5-7,LEF-5-8
U,285,20000,LEF-5-6,LEF-5-7
U,286,20000,LEF-5-5,LEF-5-6
U,287,20000,LEF-5-4,LEF-5-5
U,288,20000,LEF-5-3,LEF-5-4
U,289,20000,LEF-5-2,LEF-5-3
U,290,20000,LEF-5-1,LEF-5-2
U,291,20000,LEF-5-1,LEF-7-1
U,292,20000,LEF-7-1,LEF-7-2
U,293,20000,LEF-7-2,LEF-7-3
U,294,20000,LEF-7-3,LEF-7-4
U,295,20000,LEF-7-4,LEF-7-5
U,296,20000,LEF-7-5,LEF-7-6
U,297,20000,LEF-7-6,LEF-7-7
U,298,20000,LEF-7-7,LEF-7-8
U,299,20000,LEF-7-8,LEF-7-9
U,300,20000,LEF-7-8,LEF-7-9
U,301,20000,LEF-7-7,LEF-7-8
U,302,20000,LEF-7-6,LEF-7-7
U,303,20000,LEF-7-5,LEF-7-6
U,304,20000,LEF-7-4,LEF-7-5
U,305,20000,LEF-7-3,LEF-7-4
U,306,20000,LEF-7-2,LEF-7-3
U,307,20000,LEF-7-1,LEF-7-2
U,308,20000,LEF-5-1,LEF-7-1
U,309,20000,LEF-5-1,LEF-5-2
