Layer,Phase 1 point,Hits,NEVTs
Y,337,LEF-8-1, LEF-8-2
Y,338,LEF-8-2, LEF-8-3
Y,339,LEF-8-3, LEF-8-4
Y,340,LEF-8-4, LEF-8-5
Y,341,LEF-8-5, LEF-8-6
Y,342,LEF-8-6, LEF-8-7
Y,343,LEF-8-4, LEF-8-5
Y,344,LEF-8-3, LEF-8-4
Y,345,LEF-8-2, LEF-8-3
Y,346,LEF-8-1, LEF-8-2
Y,347,LEF-6-1, LEF-8-1
Y,348,LEF-6-1, LEF-6-2
Y,349,LEF-6-2, LEF-6-3
Y,350,LEF-6-3, LEF-6-4
Y,351,LEF-6-4, LEF-6-5
Y,352,LEF-6-4, LEF-6-5
Y,353,LEF-6-3, LEF-6-4
Y,354,LEF-6-2, LEF-6-3
Y,355,LEF-6-1, LEF-6-2
Y,356,LEF-6-1, LEF-8-1
Y,357,LEF-8-1, LEF-8-2
Y,358,LEF-8-2, LEF-8-3
Y,359,LEF-8-3, LEF-8-4
Y,360,LEF-8-4, LEF-8-5
