Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-45-5,LEF-2-5,452.90000000000003,-561.0,565.9000000000001,-561.0,565.9000000000001,-481.0,452.90000000000003,-481.0,453.60562500000003,-560.42,565.194375,-560.42,565.194375,-481.5799999999999,453.60562500000003,-481.5799999999999
Y,QL-R3,L12-45-4,LEF-2-5,452.90000000000003,-641.1500000000001,565.9000000000001,-641.1500000000001,565.9000000000001,-561.1500000000001,452.90000000000003,-561.1500000000001,453.60562500000003,-640.57,565.194375,-640.57,565.194375,-561.73,453.60562500000003,-561.73
Y,QL-R3,L12-45-3,LEF-2-5,452.90000000000003,-721.3000000000001,565.9000000000001,-721.3000000000001,565.9000000000001,-641.3000000000001,452.90000000000003,-641.3000000000001,453.60562500000003,-720.72,565.194375,-720.72,565.194375,-641.88,453.60562500000003,-641.88
Y,QL-R3,L12-45-2,LEF-2-5,452.90000000000003,-801.45,565.9000000000001,-801.45,565.9000000000001,-721.45,452.90000000000003,-721.45,453.60562500000003,-800.87,565.194375,-800.87,565.194375,-722.03,453.60562500000003,-722.03
Y,QL-R3,L12-45-1,LEF-2-5,452.90000000000003,-881.6,565.9000000000001,-881.6,565.9000000000001,-801.6,452.90000000000003,-801.6,453.60562500000003,-881.02,565.194375,-881.02,565.194375,-802.18,453.60562500000003,-802.18
Y,QL-R3,L12-45-0,LEF-2-5,452.90000000000003,-961.7500000000001,565.9000000000001,-961.7500000000001,565.9000000000001,-881.7500000000001,452.90000000000003,-881.7500000000001,453.60562500000003,-961.1700000000001,565.194375,-961.1700000000001,565.194375,-882.33,453.60562500000003,-882.33
Y,QL-R3,L10-18-9,LEF-2-6,566.1,-80.1,679.1,-80.1,679.1,-0.09999999999999432,566.1,-0.09999999999999432,566.8056250000001,-79.52,678.3943750000001,-79.52,678.3943750000001,-0.6799999999999926,566.8056250000001,-0.6799999999999926
Y,QL-R3,L10-18-8,LEF-2-6,566.1,-160.25,679.1,-160.25,679.1,-80.25,566.1,-80.25,566.8056250000001,-159.67,678.3943750000001,-159.67,678.3943750000001,-80.82999999999998,566.8056250000001,-80.82999999999998
Y,QL-R3,L10-18-7,LEF-2-6,566.1,-240.4,679.1,-240.4,679.1,-160.4,566.1,-160.4,566.8056250000001,-239.82,678.3943750000001,-239.82,678.3943750000001,-160.98,566.8056250000001,-160.98
Y,QL-R3,L10-18-6,LEF-2-6,566.1,-320.55,679.1,-320.55,679.1,-240.55,566.1,-240.55,566.8056250000001,-319.97,678.3943750000001,-319.97,678.3943750000001,-241.13000000000002,566.8056250000001,-241.13000000000002
Y,QL-R3,L10-18-5,LEF-2-6,566.1,-400.70000000000005,679.1,-400.70000000000005,679.1,-320.70000000000005,566.1,-320.70000000000005,566.8056250000001,-400.12000000000006,678.3943750000001,-400.12000000000006,678.3943750000001,-321.2800000000001,566.8056250000001,-321.2800000000001
